energy size flux flux_error_lo flux_error_hi
3.1400 0.10000 3.5239E-04 8.5237E-05 3.1333E-04
3.3400 0.10000 2.9870E-04 7.6631E-05 3.2180E-04
3.5400 0.10000 3.1063E-04 7.6116E-05 3.3000E-04
3.7200 0.080000 3.3360E-04 8.5748E-05 3.3717E-04
3.9000 0.10000 2.8326E-04 6.9525E-05 3.4410E-04
4.0800 0.080000 3.3023E-04 8.2186E-05 3.5090E-04
4.2200 0.060000 4.4222E-04 1.1006E-04 3.5607E-04
4.3800 0.10000 2.6478E-04 7.3399E-05 3.6180E-04
4.5600 0.080000 3.8338E-04 9.2751E-05 3.6817E-04
4.7000 0.060000 4.9228E-04 1.2076E-04 3.7302E-04
4.8400 0.080000 3.8852E-04 9.2462E-05 3.7777E-04
5.0000 0.080000 4.7937E-04 1.0580E-04 3.8311E-04
5.1800 0.10000 2.8722E-04 8.1232E-05 3.8899E-04
5.3600 0.080000 3.7527E-04 9.8063E-05 3.9479E-04
5.5200 0.080000 4.4516E-04 1.0770E-04 3.9983E-04
5.7000 0.10000 3.5740E-04 8.6435E-05 4.0540E-04
5.8600 0.060000 6.4411E-04 1.4706E-04 4.1030E-04
6.0000 0.080000 4.9406E-04 1.1280E-04 4.1449E-04
6.1800 0.10000 3.5856E-04 9.2164E-05 4.1980E-04
6.3600 0.080000 5.0507E-04 1.1843E-04 4.2505E-04
6.5200 0.080000 4.8085E-04 1.1967E-04 4.2964E-04
6.6800 0.080000 6.6037E-04 1.3688E-04 4.3416E-04
6.8600 0.10000 4.2893E-04 1.0522E-04 4.3916E-04
7.0800 0.12000 3.6299E-04 9.4698E-05 4.4517E-04
7.3000 0.10000 6.1374E-04 1.2752E-04 4.5111E-04
7.4600 0.060000 9.8183E-04 2.1648E-04 4.5537E-04
7.6200 0.10000 5.0857E-04 1.2287E-04 4.5954E-04
7.8400 0.12000 4.1684E-04 1.1047E-04 4.6521E-04
8.0800 0.12000 4.6881E-04 1.1507E-04 4.7131E-04
8.3000 0.10000 5.6600E-04 1.3649E-04 4.7682E-04
8.5600 0.16000 3.3088E-04 9.0962E-05 4.8318E-04
8.8000 0.080000 9.5772E-04 2.0549E-04 4.8902E-04
9.0200 0.14000 4.3350E-04 1.1328E-04 4.9424E-04
9.2800 0.12000 5.5572E-04 1.3831E-04 5.0035E-04
9.5600 0.16000 5.0822E-04 1.1787E-04 5.0679E-04
9.8200 0.10000 8.4873E-04 1.9052E-04 5.1273E-04
10.120 0.20000 3.7757E-04 1.0904E-04 5.1938E-04
10.480 0.16000 6.3797E-04 1.5429E-04 5.2731E-04
10.860 0.22000 4.7938E-04 1.1941E-04 5.3545E-04
11.340 0.26000 4.5305E-04 1.1645E-04 5.4552E-04
11.900 0.30000 4.1819E-04 1.2121E-04 5.5697E-04
12.500 0.30000 5.1574E-04 1.3704E-04 5.6893E-04
13.000 0.20000 9.0756E-04 2.2587E-04 5.7871E-04
13.440 0.24000 8.5514E-04 2.0948E-04 5.8707E-04
13.920 0.24000 8.9988E-04 2.4282E-04 5.9603E-04
14.520 0.36000 6.8638E-04 1.7643E-04 6.0693E-04
15.220 0.34000 8.1710E-04 2.1352E-04 6.1941E-04
16.100 0.54000 5.2428E-04 1.6059E-04 6.3450E-04
17.360 0.72000 4.3292E-04 1.5249E-04 6.5534E-04
18.700 0.62000 7.3239E-04 2.2018E-04 6.7686E-04
NO NO NO NO NO
3.2400 0.080000 3.9349E-04 1.0361E-04 3.3125E-04
3.4000 0.080000 4.4986E-04 1.1207E-04 3.3822E-04
3.5600 0.080000 3.4403E-04 9.7512E-05 3.4501E-04
3.7200 0.080000 4.1490E-04 9.9595E-05 3.5162E-04
3.8800 0.080000 3.9785E-04 9.8901E-05 3.5808E-04
4.0600 0.10000 2.1308E-04 7.4830E-05 3.6513E-04
4.2400 0.080000 3.4868E-04 9.4860E-05 3.7207E-04
4.4000 0.080000 4.5105E-04 1.0198E-04 3.7807E-04
4.5600 0.080000 3.5907E-04 9.5833E-05 3.8394E-04
4.7200 0.080000 3.9381E-04 1.0036E-04 3.8971E-04
4.8800 0.080000 4.8294E-04 1.1222E-04 3.9536E-04
5.0400 0.080000 3.8530E-04 1.0283E-04 4.0090E-04
5.2200 0.10000 4.1326E-04 9.6534E-05 4.0701E-04
5.4200 0.10000 3.6500E-04 9.1300E-05 4.1367E-04
5.6000 0.080000 5.3919E-04 1.2191E-04 4.1956E-04
5.7800 0.10000 3.8652E-04 9.6683E-05 4.2532E-04
5.9400 0.060000 7.0058E-04 1.6003E-04 4.3039E-04
6.1000 0.10000 5.2967E-04 1.1264E-04 4.3533E-04
6.3000 0.10000 3.9901E-04 1.0097E-04 4.4144E-04
6.5200 0.12000 3.4010E-04 9.2948E-05 4.4802E-04
6.7800 0.14000 3.0428E-04 8.1683E-05 4.5563E-04
7.0200 0.10000 5.4784E-04 1.2794E-04 4.6256E-04
7.2200 0.10000 4.4214E-04 1.2301E-04 4.6820E-04
7.4000 0.080000 6.8172E-04 1.6133E-04 4.7322E-04
7.6000 0.12000 5.1058E-04 1.2056E-04 4.7868E-04
7.7800 0.060000 9.6144E-04 2.3310E-04 4.8357E-04
8.0000 0.16000 3.5551E-04 9.1763E-05 4.8937E-04
8.2800 0.12000 5.4406E-04 1.3525E-04 4.9672E-04
8.5600 0.16000 3.4179E-04 1.0074E-04 5.0388E-04
8.8400 0.12000 6.3404E-04 1.5047E-04 5.1096E-04
9.0400 0.080000 9.0649E-04 2.1799E-04 5.1594E-04
9.2200 0.10000 8.0023E-04 1.8494E-04 5.2034E-04
9.5200 0.20000 4.2076E-04 1.0152E-04 5.2753E-04
9.8600 0.14000 6.0995E-04 1.5544E-04 5.3562E-04
10.220 0.22000 4.7456E-04 1.1938E-04 5.4393E-04
10.540 0.10000 0.0010457 2.6811E-04 5.5128E-04
10.780 0.14000 7.7517E-04 2.0809E-04 5.5665E-04
11.120 0.20000 6.3755E-04 1.5332E-04 5.6414E-04
11.580 0.26000 4.9748E-04 1.4503E-04 5.7406E-04
12.140 0.30000 5.4654E-04 1.4869E-04 5.8586E-04
12.720 0.28000 6.4072E-04 1.7911E-04 5.9781E-04
13.260 0.26000 7.5532E-04 2.1313E-04 6.0866E-04
13.820 0.30000 7.8049E-04 2.1819E-04 6.1961E-04
14.580 0.46000 5.5174E-04 1.6262E-04 6.3398E-04
15.460 0.42000 8.0342E-04 2.1567E-04 6.5028E-04
16.260 0.38000 9.3459E-04 2.7144E-04 6.6464E-04
17.080 0.44000 8.5871E-04 2.7318E-04 6.7888E-04
18.380 0.86000 4.1133E-04 1.7766E-04 7.0037E-04
